,Ath,Ber,Dub,Hel,Ist,Lis,Lon,Mad,Mos,Par,Rom,Zur
Ath,0,1256,3933,3416,1205,4673,3399,4029,3217,3058,1417,2529
Ber,1256,0,1530,1430,2257,2832,996,2360,1856,1100,1529,845
Dub,3933,1530,0,2665,3634,2791,534,2259,3386,999,2436,1567
Hel,3416,1430,2665,0,3005,4055,2131,3523,1141,2263,3003,2223
Ist,1205,2257,3634,3005,0,4374,3100,3730,2647,2759,1977,2230
Lis,4673,2832,2791,4055,4374,0,2257,644,4748,1792,2730,2228
Lon,3399,996,534,2131,3100,2257,0,1725,2852,465,1902,1033
Mad,4029,2360,2259,3523,3730,644,1725,0,4216,1260,2086,1696
Mos,3217,1856,3386,1141,2647,4748,2852,4216,0,2956,3187,2564
Par,3058,1100,999,2263,2759,1792,465,1260,2956,0,1437,581
Rom,1417,1529,2436,3003,1977,2730,1902,2086,3187,1437,0,889
Zur,2529,845,1567,2223,2230,2228,1033,1696,2564,581,889,0
